Date,Open,High,Low,Close,Adj Close,Volume
02-01-2007,45.5,45.5,43.099998,43.900002,37.167507,283892
03-01-2007,44,44,42.549999,43.5,36.82885,1261939
04-01-2007,43.950001,44,42.5,42.849998,36.27853,125436
05-01-2007,42.75,42.900002,40,42.650002,36.109207,98913
08-01-2007,41.299999,44,41,42.25,35.770546,109092
09-01-2007,41.75,43.900002,41.75,43.099998,36.490192,173111
10-01-2007,43,43.200001,42.25,43,36.405521,235132
11-01-2007,43.200001,44,42.299999,43.299999,36.659527,179379
12-01-2007,43.900002,44.75,42.5,42.950001,36.363205,1788477
15-01-2007,43.799999,51.549999,43.599998,51.549999,43.644302,1385389
16-01-2007,52.200001,54.849998,48.099998,49.299999,41.739365,1922215
17-01-2007,48.900002,50.75,48.099998,49.150002,41.612366,696201
18-01-2007,49.200001,50.349998,48.5,48.849998,41.358372,484836
19-01-2007,49,50,48,48.349998,40.935047,345516
22-01-2007,48.950001,49.75,47.5,47.900002,40.55407,248280
23-01-2007,47.799999,47.799999,46.099998,46.599998,39.45343,206263
24-01-2007,47.200001,47.700001,45.549999,46,38.94545,159005
25-01-2007,46,49,46,48.349998,40.935047,967117
29-01-2007,48.900002,54.849998,48,52.349998,44.321621,1520704
31-01-2007,53,54.299999,49.799999,50.5,42.755329,1845776
01-02-2007,50.099998,50.700001,48.549999,49.950001,42.28968,392696
02-02-2007,50.700001,54.549999,50.150002,50.950001,43.136322,1191589
05-02-2007,43,52.200001,43,50.599998,42.839985,781118
06-02-2007,50.099998,51,49.5,49.700001,42.078022,293705
07-02-2007,50.75,51.900002,48.099998,49.450001,41.86636,491130
08-02-2007,49.5,50.25,48.400002,48.900002,41.400707,332780
09-02-2007,49,49.5,47.799999,48.5,41.062054,334895
12-02-2007,49,49,46.799999,46.950001,39.749756,506110
13-02-2007,46.200001,47.5,45.400002,46.400002,39.284111,357078
14-02-2007,45.549999,46.799999,44.900002,46.349998,39.241779,1450964
15-02-2007,47,47.5,46.400002,46.75,39.580429,582145
19-02-2007,47,48.200001,45.5,45.799999,38.776115,160367
20-02-2007,45.200001,47.799999,45.200001,47.349998,40.088409,605977
21-02-2007,48,49.900002,47.900002,48.5,41.062054,573683
22-02-2007,49,50.25,47.650002,49.200001,41.654697,1452257
23-02-2007,49.349998,49.950001,46.25,47.299999,40.046078,474995
26-02-2007,48.299999,48.299999,46.650002,47.200001,39.961418,217618
27-02-2007,47,50.900002,47,48.450001,41.019722,807338
28-02-2007,45,48.5,40.349998,46.049999,38.987778,500898
01-03-2007,47.400002,49.049999,46.549999,48.700001,41.23138,654106
02-03-2007,48.900002,51,47,48.25,40.850391,635541
05-03-2007,46.400002,47,45,45.049999,38.14114,471124
06-03-2007,45.099998,47.5,45.099998,47.200001,39.961418,521259
07-03-2007,48,48,45.200001,45.400002,38.437458,177556
08-03-2007,44.200001,46.5,44.200001,46.099998,39.030109,155614
09-03-2007,46.799999,46.799999,45.5,45.900002,38.860783,85624
12-03-2007,46.5,49.200001,46,48.150002,40.765728,364357
13-03-2007,48.549999,49.200001,48.25,48.700001,41.23138,188485
14-03-2007,46.5,48.5,46.5,48.299999,40.892723,190504
15-03-2007,48.400002,49.200001,48.150002,48.450001,41.019722,136173
16-03-2007,48.5,48.549999,47,47.299999,40.046078,81212
19-03-2007,47.5,48.5,47,47.25,40.00375,119565
20-03-2007,48,48.5,47.549999,48.099998,40.723389,105826
21-03-2007,47.599998,49.25,47.450001,49,41.485367,131162
22-03-2007,49.5,51,48.5,50.650002,42.882332,518184
23-03-2007,49.5,50.900002,49,49.900002,42.247341,125033
26-03-2007,49.900002,50,48.5,49.599998,41.993347,443328
28-03-2007,49.150002,49.5,47.650002,47.849998,40.51173,84072
29-03-2007,47.700001,48.349998,47.700001,48.150002,40.765728,39568
30-03-2007,48.299999,48.650002,46.349998,47,39.792088,266370
02-04-2007,47,49,47,47.450001,40.173077,198125
03-04-2007,48.5,50,48,48.450001,41.019722,217022
04-04-2007,49.200001,49.25,48.25,48.75,41.273708,82008
05-04-2007,49,49.700001,48,49.299999,41.739365,76309
09-04-2007,49.700001,50.200001,49.299999,49.950001,42.28968,216581
10-04-2007,50.450001,52,49.700001,51.700001,43.771294,515626
11-04-2007,52.5,52.799999,51.349998,52.049999,44.067619,257251
12-04-2007,52,52,49.5,50.099998,42.416668,162391
13-04-2007,51.950001,51.950001,49.700001,49.849998,42.205009,671685
16-04-2007,50.200001,51.5,48.049999,48.549999,41.104385,738377
17-04-2007,48.549999,50.75,47.650002,49.900002,42.247341,909339
18-04-2007,50.799999,50.900002,49.599998,50.200001,42.501339,237191
19-04-2007,49,51.75,49,50.700001,42.924664,185037
20-04-2007,51,51.450001,50,50.049999,42.374336,109435
23-04-2007,50.150002,50.849998,50,50.25,42.543663,143663
24-04-2007,48.349998,51.950001,48.349998,51.5,43.601967,376302
25-04-2007,51,52,51,51.650002,43.728966,295805
26-04-2007,51.650002,53.25,50,51,43.17865,788821
27-04-2007,51,53,50.400002,52.200001,44.194618,402187
30-04-2007,52.099998,52.900002,51.700001,52.25,44.236954,272730
03-05-2007,52.700001,53.75,51.799999,52.900002,44.787266,464701
04-05-2007,53.700001,53.700001,52.549999,53,44.871933,222414
07-05-2007,53.5,54.900002,52.200001,53.650002,45.422241,500910
08-05-2007,53,54.900002,53,53.950001,45.676239,337313
09-05-2007,53,54.25,52.900002,54.099998,45.803226,242649
10-05-2007,54,54.849998,54,54.25,45.930233,189336
11-05-2007,47.049999,57,47.049999,55.950001,47.369514,898839
14-05-2007,56.200001,57.950001,55.049999,57.400002,48.597141,491857
15-05-2007,53.25,60,53.25,58.900002,49.867107,1447002
16-05-2007,59,61,57.75,60.5,51.221733,1194531
17-05-2007,60.549999,61.400002,59.5,60.150002,50.925411,541965
18-05-2007,59.650002,60.75,58.5,60.299999,51.052406,387233
21-05-2007,60.299999,61,58.099998,58.5,49.528446,705571
22-05-2007,58.5,59.799999,57.049999,57.349998,48.55481,263676
23-05-2007,57.5,58.150002,55.5,55.75,47.200188,234754
24-05-2007,55.200001,57.75,55,56.5,47.835171,394090
25-05-2007,56,56.599998,55.299999,56.299999,47.665848,327536
28-05-2007,57,57.900002,56.549999,57.549999,48.724144,241605
29-05-2007,57.25,59.75,57,59.049999,49.994106,544030
30-05-2007,59.5,59.950001,57.700001,58.599998,49.61311,615267
31-05-2007,59.799999,60.900002,57.299999,57.799999,48.935806,295494
01-06-2007,57.799999,59.950001,57.450001,57.5,48.681812,458194
04-06-2007,58.900002,59,56.799999,57.099998,48.343159,205959
05-06-2007,57,57.900002,54.650002,57.049999,48.300823,1157323
06-06-2007,57.5,57.900002,54.5,54.900002,46.480545,533884
07-06-2007,55.450001,56.5,53.599998,53.799999,45.549232,451435
08-06-2007,53.75,60.400002,53.150002,57.75,48.893471,4408684
11-06-2007,58.650002,59.900002,56.549999,56.849998,48.131489,866665
12-06-2007,56.5,57.25,53.799999,55.25,46.776875,620669
13-06-2007,54.900002,56.099998,54.299999,54.849998,46.43821,218522
14-06-2007,56.5,56.950001,54.849998,55.049999,46.607533,519486
15-06-2007,56,56.049999,54.25,55,46.565216,1084439
18-06-2007,55.200001,56,54.799999,55.299999,46.819202,2010393
19-06-2007,55.700001,56.900002,55.099998,56.299999,47.665848,198217
20-06-2007,56.299999,59.25,56.299999,58.950001,49.909439,675756
21-06-2007,58.950001,61,57.099998,60.200001,50.967735,829137
22-06-2007,60,60.349998,58.299999,58.75,49.740116,386850
25-06-2007,59,59.5,58.150002,59.200001,50.121094,199743
26-06-2007,59,59.5,58.400002,58.5,49.528446,171809
27-06-2007,57.099998,59.650002,57.099998,58.650002,49.655449,245792
28-06-2007,59.400002,59.400002,58,58.450001,49.486122,192612
29-06-2007,58,59,58,58.549999,49.570782,191881
02-07-2007,59,59,57.049999,57.900002,49.020462,564675
03-07-2007,58.099998,58.599998,57.5,58.049999,49.147461,238693
04-07-2007,57.900002,59,57.5,57.700001,48.851139,372691
05-07-2007,57.549999,58.450001,56.25,56.950001,48.21616,187921
06-07-2007,57.299999,57.349998,55.400002,55.599998,47.073193,565011
09-07-2007,57.349998,58.5,55.049999,56.450001,47.792843,1479936
10-07-2007,56.799999,58.200001,56.299999,57.549999,48.724144,540780
11-07-2007,56.5,57.400002,56.099998,57,48.258488,615104
12-07-2007,57.25,57.75,56.75,56.849998,48.131489,173512
13-07-2007,57.700001,60,57.150002,59.5,50.375084,524875
16-07-2007,59.5,61.700001,58.5,58.950001,49.909439,565890
17-07-2007,58.950001,59.900002,57.099998,57.450001,48.639477,182279
18-07-2007,57.799999,58.799999,57.299999,57.5,48.681812,140192
19-07-2007,57.400002,58.049999,57.349998,57.549999,48.724144,110806
20-07-2007,57.75,60.200001,57.25,59.799999,50.629074,1287739
23-07-2007,59.349998,59.700001,57.700001,58.25,49.316788,390983
24-07-2007,58.150002,60.299999,58.150002,59.299999,50.205761,491591
25-07-2007,57.5,59,57.5,58.049999,49.147461,422330
26-07-2007,58.900002,58.900002,57.299999,57.599998,48.766472,171429
27-07-2007,56.5,57,55.25,56,47.41185,561676
30-07-2007,56,57,54.599998,55.150002,46.692215,406149
31-07-2007,55.900002,57.900002,55.900002,56.349998,47.708172,311511
01-08-2007,56,56.299999,54.25,54.900002,46.480545,444145
02-08-2007,55,55.700001,53.650002,54.049999,45.760899,209916
03-08-2007,54.900002,55.400002,54.5,54.650002,46.26889,137101
06-08-2007,46.650002,54.950001,46.650002,54.400002,46.057228,106614
07-08-2007,55.200001,55.799999,54.5,54.950001,46.522881,100268
08-08-2007,55.599998,56.5,54.849998,56.049999,47.454185,145239
09-08-2007,57,57.5,54.849998,55.099998,46.649876,134216
10-08-2007,53,54.849998,52.900002,54.299999,45.972565,162478
13-08-2007,55.099998,55.799999,54.299999,55.349998,46.861534,102034
14-08-2007,56,56,54.900002,55.150002,46.692215,56402
16-08-2007,54.950001,56,52.099998,55.049999,46.607533,365139
17-08-2007,53,54.900002,52.400002,52.849998,44.74493,249483
20-08-2007,54.700001,55.400002,54,54.299999,45.972565,107485
21-08-2007,54.299999,54.5,53.5,54.150002,45.84557,114106
22-08-2007,55,55,53,53.299999,45.125927,137483
23-08-2007,53.299999,54.5,53.299999,53.799999,45.549232,140657
24-08-2007,54.5,57.25,53.25,55.5,46.988522,407481
27-08-2007,56.75,57.349998,55.900002,57.049999,48.300823,277394
28-08-2007,58.099998,58.099998,56.299999,56.900002,48.173828,93123
29-08-2007,55.299999,58.450001,55.299999,57.299999,48.512478,210670
30-08-2007,57.5,58.950001,57.5,57.799999,48.935806,219621
