Date,Open,High,Low,Close,Adj Close,Volume
2007-01-02,75.000000,75.750000,73.599998,74.000000,55.455494,301305
2007-01-03,75.000000,75.000000,73.000000,73.599998,55.155716,172117
2007-01-04,74.000000,82.300003,73.000000,79.650002,59.689579,2186571
2007-01-05,80.000000,80.500000,76.550003,77.250000,57.891022,624907
2007-01-08,77.099998,81.550003,76.550003,79.650002,59.689579,1113697
2007-01-09,80.750000,83.349998,79.000000,79.849998,59.839458,941693
2007-01-10,79.000000,79.900002,76.550003,76.900002,57.628731,341209
2007-01-11,77.750000,80.000000,76.699997,79.349998,59.464775,481405
2007-01-12,80.000000,82.000000,78.800003,79.849998,59.839458,506535
2007-01-15,80.000000,82.000000,78.699997,80.550003,60.364037,397756
2007-01-16,81.000000,81.199997,79.000000,79.349998,59.464775,255913
2007-01-17,79.949997,80.000000,78.500000,78.849998,59.090061,152373
2007-01-18,79.500000,81.400002,78.099998,78.500000,58.827766,276879
2007-01-19,79.000000,79.750000,76.250000,77.000000,57.703686,144585
2007-01-22,78.000000,79.800003,77.199997,77.449997,58.040901,134083
2007-01-23,77.500000,78.500000,75.550003,76.599998,57.403915,117503
2007-01-24,77.000000,77.800003,75.800003,76.150002,57.066685,86189
2007-01-25,77.000000,80.800003,75.400002,76.449997,57.291508,127614
2007-01-29,77.000000,79.000000,76.500000,77.050003,57.741142,282637
2007-01-31,77.250000,77.849998,75.050003,75.199997,56.354763,82906
2007-02-01,76.000000,77.000000,74.000000,74.199997,55.605347,89372
2007-02-02,75.000000,75.400002,70.000000,73.449997,55.043308,190983
2007-02-05,74.500000,77.650002,72.699997,76.050003,56.991756,374948
2007-02-06,76.849998,78.349998,75.550003,76.050003,56.991756,201033
2007-02-07,76.099998,76.900002,73.099998,74.599998,55.905109,116634
2007-02-08,75.000000,75.400002,73.500000,73.849998,55.343067,84203
2007-02-09,74.349998,74.900002,71.599998,72.000000,53.956692,88935
2007-02-12,76.800003,76.800003,69.050003,69.650002,52.195591,119703
2007-02-13,70.000000,71.500000,68.550003,69.449997,52.045704,121338
2007-02-14,69.000000,69.900002,67.150002,69.449997,52.045704,88482
2007-02-15,70.900002,71.900002,70.500000,71.449997,53.544506,95232
2007-02-19,71.000000,72.699997,71.000000,71.650002,53.694397,82550
2007-02-20,72.000000,72.400002,69.750000,70.050003,52.495354,54002
2007-02-21,70.000000,70.400002,69.099998,69.550003,52.120655,68829
2007-02-22,69.400002,70.000000,67.400002,68.000000,50.959087,59510
2007-02-23,68.750000,68.900002,65.250000,66.099998,49.535229,113122
2007-02-26,66.750000,68.000000,66.000000,67.300003,50.434521,70709
2007-02-27,68.349998,71.250000,68.349998,68.900002,51.633553,196947
2007-02-28,66.000000,69.250000,65.000000,67.949997,50.921619,193564
2007-03-01,68.000000,68.199997,65.800003,66.699997,49.984867,79129
2007-03-02,66.250000,66.949997,65.000000,65.300003,48.935715,78952
2007-03-05,64.000000,64.500000,60.549999,60.849998,45.600887,102946
2007-03-06,64.300003,64.300003,59.099998,62.150002,46.575111,123516
2007-03-07,64.000000,64.000000,58.549999,59.549999,44.626667,69119
2007-03-08,61.000000,61.000000,57.799999,59.750000,44.776554,98296
2007-03-09,61.500000,61.500000,58.650002,59.099998,44.289444,56044
2007-03-12,60.000000,62.000000,59.250000,61.400002,46.013065,73420
2007-03-13,62.450001,63.900002,60.599998,63.500000,47.586796,100076
2007-03-14,57.549999,62.500000,57.500000,61.000000,45.713291,63261
2007-03-15,62.000000,62.900002,61.000000,61.250000,45.900650,28088
2007-03-16,61.500000,62.799999,59.750000,61.650002,46.200409,65555
2007-03-19,62.000000,62.650002,60.500000,61.000000,45.713291,31815
2007-03-20,62.000000,62.000000,60.099998,60.549999,45.376076,29576
2007-03-21,61.000000,62.950001,60.049999,60.599998,45.413544,93138
2007-03-22,61.000000,62.000000,60.650002,60.900002,45.638363,36235
2007-03-23,60.250000,62.000000,59.700001,60.049999,45.298897,71156
2007-03-26,60.000000,61.400002,59.000000,59.150002,44.619984,63561
2007-03-28,59.299999,59.799999,57.400002,57.700001,43.526180,60275
2007-03-29,59.000000,59.400002,58.099998,58.349998,44.016499,29820
2007-03-30,59.400002,59.750000,58.400002,59.200001,44.657700,48164
2007-04-02,59.900002,59.900002,57.000000,57.599998,43.450737,45651
2007-04-03,57.599998,58.349998,56.549999,56.900002,42.922691,66919
2007-04-04,58.000000,60.700001,57.099998,57.599998,43.450737,241017
2007-04-05,58.700001,59.400002,57.299999,57.599998,43.450737,209624
2007-04-09,58.549999,60.000000,58.250000,59.099998,44.582268,140449
2007-04-10,60.250000,61.500000,59.900002,61.250000,46.204124,285700
2007-04-11,61.299999,64.500000,61.200001,63.599998,47.976852,274606
2007-04-12,62.500000,63.900002,62.000000,63.200001,47.675121,118261
2007-04-13,63.900002,64.800003,63.250000,64.400002,48.580338,143483
2007-04-16,64.599998,65.699997,64.550003,64.949997,48.995235,86661
2007-04-17,65.250000,66.000000,63.099998,63.349998,47.788258,71190
2007-04-18,64.400002,65.500000,63.549999,64.400002,48.580338,118437
2007-04-19,63.599998,67.400002,63.099998,65.800003,49.636440,111875
2007-04-20,67.199997,67.250000,65.150002,65.500000,49.410126,56453
2007-04-23,66.750000,70.500000,65.349998,69.050003,52.088081,733359
2007-04-24,70.500000,73.050003,69.050003,70.400002,53.106457,535047
2007-04-25,71.000000,71.849998,69.000000,69.599998,52.502968,240944
2007-04-26,70.449997,70.650002,68.300003,68.750000,51.861771,133638
2007-04-27,67.949997,68.849998,66.500000,67.000000,50.541660,79171
2007-04-30,66.849998,67.949997,65.650002,67.250000,50.730247,53005
2007-05-03,67.099998,69.000000,67.099998,67.750000,51.107426,57673
2007-05-04,67.250000,68.400002,66.099998,66.500000,50.164482,48750
2007-05-07,66.949997,70.900002,66.300003,68.300003,51.522320,262522
2007-05-08,69.000000,72.000000,68.550003,69.500000,52.427536,490004
2007-05-09,70.000000,70.349998,68.500000,69.250000,52.238945,96063
2007-05-10,70.000000,70.349998,67.599998,68.050003,51.333729,86855
2007-05-11,67.449997,68.500000,66.500000,67.349998,50.805672,62807
2007-05-14,68.000000,68.650002,67.099998,67.449997,50.881115,67136
2007-05-15,67.500000,68.000000,67.000000,67.599998,50.994267,57671
2007-05-16,68.199997,74.500000,67.199997,73.849998,55.708973,1023341
2007-05-17,75.000000,75.000000,71.750000,71.949997,54.275703,238777
2007-05-18,70.300003,71.800003,70.000000,70.250000,52.993317,110803
2007-05-21,70.550003,73.500000,70.250000,71.400002,53.860813,212215
2007-05-22,71.699997,77.400002,70.750000,75.500000,56.953651,846559
2007-05-23,77.000000,79.900002,76.099998,76.650002,57.821167,1170345
2007-05-24,77.000000,77.449997,73.800003,74.449997,56.161564,209357
2007-05-25,76.949997,78.800003,73.500000,77.150002,58.198353,331327
2007-05-28,78.000000,80.500000,77.300003,78.199997,58.990402,571655
2007-05-29,79.000000,79.500000,77.150002,77.849998,58.726398,271319
2007-05-30,77.000000,77.500000,71.000000,72.199997,54.464283,321245
2007-05-31,74.449997,74.449997,67.599998,68.900002,51.974930,547812
2007-06-01,70.199997,72.000000,67.900002,68.449997,51.635475,321585
2007-06-04,70.000000,71.599998,69.000000,69.800003,52.653851,182316
2007-06-05,69.349998,70.500000,68.500000,68.650002,51.786343,219353
2007-06-06,69.000000,70.000000,66.900002,67.349998,50.805672,161660
2007-06-07,67.000000,68.500000,67.000000,67.400002,50.843399,83069
2007-06-08,67.000000,67.000000,65.000000,65.300003,49.259254,118232
2007-06-11,67.000000,67.800003,62.000000,62.349998,47.033913,289100
2007-06-12,62.400002,63.700001,60.200001,61.150002,46.128696,220736
2007-06-13,61.650002,63.250000,61.000000,62.049999,46.807606,102564
2007-06-14,63.799999,65.000000,62.299999,64.449997,48.618046,128651
2007-06-15,70.000000,70.000000,64.550003,64.900002,48.957508,139773
2007-06-18,65.650002,65.849998,64.050003,64.400002,48.580338,66186
2007-06-19,65.000000,65.000000,63.549999,64.550003,48.693489,40241
2007-06-20,64.550003,66.500000,64.550003,65.800003,49.636440,139965
2007-06-21,64.000000,66.750000,63.250000,65.800003,49.636440,89987
2007-06-22,65.500000,67.000000,65.500000,66.349998,50.051315,104521
2007-06-25,65.750000,68.900002,65.000000,67.400002,50.843399,103364
2007-06-26,65.099998,68.000000,65.099998,67.050003,50.579388,77858
2007-06-27,67.500000,69.699997,66.599998,68.900002,51.974930,158247
2007-06-28,69.900002,72.400002,69.000000,71.650002,54.049400,579312
2007-06-29,72.400002,72.900002,70.150002,70.949997,53.521343,171342
2007-07-02,71.199997,72.000000,70.500000,71.400002,53.860813,129436
2007-07-03,72.000000,72.250000,71.000000,71.500000,53.936249,117532
2007-07-04,71.500000,71.550003,69.500000,70.250000,52.993317,68601
2007-07-05,70.750000,70.949997,69.000000,70.050003,52.842430,104902
2007-07-06,69.900002,72.199997,69.500000,70.000000,52.804718,117214
2007-07-09,69.550003,72.000000,69.550003,70.699997,53.332767,150533
2007-07-10,71.150002,71.150002,68.900002,69.150002,52.163513,67251
2007-07-11,69.000000,72.000000,68.250000,70.150002,52.917866,120455
2007-07-12,70.949997,74.500000,70.000000,73.650002,55.558105,517825
2007-07-13,74.900002,75.000000,71.050003,71.550003,53.973969,248124
2007-07-16,72.000000,75.199997,71.449997,74.599998,56.274731,428352
2007-07-17,75.000000,79.000000,74.650002,75.099998,56.651909,707484
2007-07-18,75.099998,75.650002,72.900002,74.900002,56.501038,275642
2007-07-19,76.199997,77.000000,75.000000,76.099998,57.406269,313763
2007-07-20,77.250000,78.949997,74.050003,76.949997,58.047466,894727
2007-07-23,75.550003,77.900002,74.750000,75.650002,57.066811,344524
2007-07-24,76.000000,77.000000,74.099998,74.349998,56.086155,225546
2007-07-25,74.000000,76.900002,73.300003,73.650002,55.558105,247369
2007-07-26,74.400002,74.750000,72.500000,73.300003,55.294090,105536
2007-07-27,72.599998,72.599998,68.500000,70.199997,52.955589,168319
2007-07-30,70.099998,71.800003,69.000000,69.750000,52.616131,199400
2007-07-31,70.449997,72.949997,69.750000,70.449997,53.144176,178503
2007-08-01,70.400002,70.400002,68.300003,68.650002,51.786343,130596
2007-08-02,69.300003,69.849998,67.050003,67.900002,51.220585,89520
2007-08-03,69.400002,69.650002,68.449997,68.599998,51.748608,68415
2007-08-06,67.199997,69.449997,64.500000,68.699997,51.824055,86582
2007-08-07,69.449997,70.400002,68.300003,68.750000,51.861771,68982
2007-08-08,69.699997,70.400002,68.849998,69.199997,52.201229,114615
2007-08-09,69.900002,72.599998,69.000000,69.500000,52.427536,196929
2007-08-10,68.699997,70.000000,66.000000,69.550003,52.465256,149654
2007-08-13,70.900002,79.900002,69.750000,77.349998,58.349209,1373530
2007-08-14,79.900002,88.300003,78.000000,87.099998,65.704163,4299833
2007-08-16,81.050003,90.400002,79.650002,84.199997,63.516548,3717093
2007-08-17,85.000000,87.900002,79.550003,82.300003,62.083248,1841002
2007-08-20,86.000000,88.000000,84.050003,85.400002,64.421761,836610
2007-08-21,86.000000,87.699997,77.500000,78.699997,59.367577,475562
2007-08-22,79.400002,81.400002,78.000000,79.750000,60.159649,415408
2007-08-23,80.000000,83.900002,76.650002,77.349998,58.349209,504666
2007-08-24,78.449997,79.949997,77.250000,78.250000,59.028130,177866
2007-08-27,80.000000,81.900002,79.150002,80.000000,60.348248,187719
2007-08-28,81.000000,85.400002,80.000000,84.500000,63.742836,1081810
2007-08-29,82.099998,84.699997,80.250000,82.900002,62.535858,361303
2007-08-30,84.900002,84.900002,81.150002,81.750000,61.668365,205025
2007-08-31,82.000000,84.500000,81.000000,84.050003,63.403385,426465
2007-09-03,85.000000,86.400002,84.000000,85.000000,64.120010,392964
2007-09-04,85.599998,87.199997,85.000000,85.599998,64.572632,393859
2007-09-05,86.199997,92.699997,85.500000,90.099998,67.967216,2814059
2007-09-06,89.800003,91.500000,88.550003,90.150002,68.004936,817751
2007-09-07,90.150002,91.050003,86.449997,87.099998,65.704163,513186
2007-09-10,86.099998,93.599998,86.000000,91.949997,69.362770,1048359
2007-09-11,93.699997,95.300003,91.500000,92.099998,69.475929,1148049
2007-09-12,92.849998,93.349998,90.150002,90.849998,68.532974,411958
2007-09-13,91.900002,94.800003,90.099998,92.650002,69.890816,1009430
2007-09-14,94.000000,94.400002,89.500000,90.199997,68.042648,528733
2007-09-17,91.000000,93.699997,90.000000,91.250000,68.834717,566657
2007-09-18,91.050003,93.250000,90.849998,92.199997,69.551338,461631
2007-09-19,93.900002,93.900002,91.500000,92.199997,69.551338,470606
2007-09-20,91.500000,92.699997,90.050003,90.400002,68.193520,257081
2007-09-21,91.449997,92.650002,89.500000,90.300003,68.118095,276640
2007-09-24,91.849998,96.199997,91.050003,95.050003,71.701271,1306411
2007-09-25,95.500000,96.000000,90.500000,93.449997,70.494293,454259
2007-09-26,95.000000,102.000000,93.000000,96.500000,72.795067,1999952
2007-09-27,97.900002,97.900002,93.000000,93.800003,70.758324,377146
2007-09-28,95.000000,95.000000,91.500000,92.650002,69.890816,375423
2007-10-01,93.000000,99.699997,93.000000,97.150002,73.285400,950516
2007-10-03,99.400002,104.449997,96.500000,102.449997,77.283463,2065374
2007-10-04,102.699997,122.949997,101.199997,121.849998,91.917900,6305016
2007-10-05,125.000000,142.899994,113.199997,128.699997,97.085243,10532720
2007-10-08,130.500000,131.899994,111.050003,115.900002,87.429535,3579649
2007-10-09,114.000000,136.899994,107.599998,132.250000,99.763191,4876737
2007-10-10,133.000000,141.800003,130.000000,132.949997,100.291237,3203557
2007-10-11,133.000000,137.699997,128.000000,129.300003,97.537857,1276381
2007-10-12,128.500000,130.850006,121.750000,123.150002,92.898582,1930568
2007-10-15,127.750000,133.000000,124.000000,128.800003,97.160675,1468455
2007-10-16,129.000000,138.500000,126.000000,135.149994,101.950798,2685931
2007-10-17,132.000000,149.000000,116.000000,144.350006,108.890869,4418622
2007-10-18,147.000000,158.699997,138.600006,141.649994,106.854103,3420116
2007-10-19,139.449997,143.850006,125.199997,131.399994,99.121986,1252571
2007-10-22,126.000000,137.800003,122.949997,131.850006,99.461433,1038302
2007-10-23,133.000000,144.000000,133.000000,139.699997,105.383133,1097471
2007-10-24,142.000000,157.000000,139.699997,153.550003,115.830887,3055642
2007-10-25,155.000000,161.699997,151.149994,154.199997,116.321251,1396673
2007-10-26,156.649994,159.399994,150.000000,155.750000,117.490501,812911
2007-10-29,157.899994,163.899994,154.250000,161.800003,122.054344,1795312
2007-10-30,163.000000,168.350006,161.000000,163.550003,123.374420,1336977
2007-10-31,164.000000,170.949997,163.250000,165.100006,124.543732,912840
2007-11-01,166.000000,172.000000,166.000000,167.949997,126.693581,1072996
2007-11-02,165.100006,176.000000,162.000000,174.000000,131.257462,942974
2007-11-05,175.800003,206.800003,172.000000,194.199997,146.495407,1613919
2007-11-06,197.449997,208.699997,170.149994,175.649994,132.502121,2407991
2007-11-07,178.000000,184.000000,168.100006,175.050003,132.049515,944277
2007-11-08,173.000000,182.500000,163.000000,179.050003,135.066925,672581
2007-11-12,175.100006,186.449997,165.600006,183.149994,138.159760,517096
2007-11-13,150.000000,199.899994,150.000000,199.800003,150.719757,1000270
2007-11-14,200.000000,204.850006,198.500000,200.699997,151.398651,788687
2007-11-15,200.000000,202.699997,192.250000,193.750000,146.155914,659768
2007-11-16,199.000000,201.449997,189.000000,198.600006,149.814514,407901
2007-11-19,204.000000,204.000000,188.100006,189.699997,143.100784,486415
2007-11-20,190.000000,193.000000,181.050003,184.649994,139.291290,272977
2007-11-21,186.000000,186.000000,172.000000,175.050003,132.049515,221441
2007-11-22,175.199997,179.850006,161.000000,165.699997,124.996292,352973
2007-11-23,169.899994,182.000000,168.000000,179.350006,135.293243,334718
2007-11-26,183.949997,186.250000,176.199997,180.250000,135.972168,245711
2007-11-27,175.000000,179.899994,173.000000,174.500000,131.634628,101066
2007-11-28,176.199997,180.250000,169.000000,171.850006,129.635559,131632
2007-11-29,174.949997,176.250000,168.000000,169.399994,127.787430,119631
2007-11-30,170.000000,173.500000,168.000000,171.449997,129.333832,124349
2007-12-03,175.000000,180.000000,171.550003,175.600006,132.464417,258573
2007-12-04,178.850006,178.850006,172.000000,173.100006,130.578522,111351
2007-12-05,174.000000,175.800003,170.850006,174.300003,131.483765,178582
2007-12-06,177.000000,178.000000,170.250000,172.050003,129.786469,154768
2007-12-07,175.250000,175.300003,164.000000,165.100006,124.543732,189370
2007-12-10,171.899994,171.899994,163.800003,165.600006,124.920868,135840
2007-12-11,169.000000,173.300003,166.000000,170.300003,128.466324,138950
2007-12-12,168.000000,175.000000,168.000000,174.600006,131.710052,187860
2007-12-13,177.000000,184.800003,176.100006,182.000000,137.292267,426399
2007-12-14,187.800003,187.800003,176.000000,178.250000,134.463440,284332
2007-12-17,179.850006,179.850006,173.000000,174.199997,131.408325,178133
2007-12-18,175.949997,175.949997,162.000000,169.800003,128.089157,105237
2007-12-19,171.399994,175.500000,167.050003,168.449997,127.070801,144117
2007-12-20,168.449997,171.949997,168.000000,169.600006,127.938309,91114
2007-12-24,172.899994,182.899994,172.899994,174.149994,131.370575,148828
2007-12-26,175.199997,182.300003,175.199997,179.199997,135.180038,189975
2007-12-27,181.399994,182.000000,178.500000,179.149994,135.142334,207879
2007-12-28,180.000000,199.000000,174.300003,190.000000,143.327072,314208
2007-12-31,197.000000,200.949997,189.000000,190.399994,143.628830,266671
2008-01-01,192.000000,198.000000,191.000000,192.899994,145.514709,225373
2008-01-02,194.899994,196.000000,187.000000,189.850006,143.213928,144158
2008-01-03,189.000000,227.850006,187.100006,227.850006,171.879364,2557678
2008-01-04,235.000000,268.000000,234.500000,250.800003,189.191772,4752828
2008-01-07,247.000000,249.949997,234.050003,237.750000,179.347443,1431032
2008-01-08,240.000000,243.800003,210.050003,214.850006,162.072739,1197416
2008-01-09,215.000000,231.899994,205.600006,219.800003,165.806808,2703190
2008-01-10,223.800003,228.000000,202.600006,205.600006,155.095016,1143008
2008-01-11,208.000000,213.149994,192.250000,203.149994,153.246796,950974
2008-01-14,210.000000,213.699997,202.000000,210.199997,158.565002,642726
2008-01-15,214.000000,216.899994,198.149994,201.300003,151.851273,694263
2008-01-16,201.000000,213.949997,191.100006,206.399994,155.698486,1120734
2008-01-17,210.000000,213.000000,204.149994,206.100006,155.472168,506761
2008-01-18,206.100006,207.449997,191.050003,193.449997,145.929596,376021
2008-01-21,191.000000,193.000000,154.800003,160.100006,120.771927,452383
2008-01-22,130.000000,170.949997,126.199997,139.899994,105.534004,254928
2008-01-23,150.000000,167.949997,150.000000,167.850006,126.618164,307009
2008-01-24,170.300003,200.699997,165.000000,174.800003,131.860931,526620
2008-01-25,183.800003,193.399994,175.000000,184.750000,139.366730,233773
2008-01-28,185.000000,185.000000,160.000000,176.750000,133.331894,129939
2008-01-29,184.000000,188.000000,174.699997,183.800003,138.650101,261509
2008-01-30,185.000000,185.000000,172.350006,175.449997,132.351242,126342
2008-01-31,184.000000,184.000000,163.250000,167.550003,126.391899,174045
2008-02-01,165.000000,172.449997,164.500000,169.649994,127.976006,130557
2008-02-04,171.949997,179.899994,171.949997,177.449997,133.859909,217282
2008-02-05,178.699997,188.399994,173.100006,184.300003,139.027298,815317
2008-02-06,177.899994,183.800003,166.949997,179.800003,135.632690,346274
2008-02-07,184.000000,186.399994,170.149994,171.699997,129.522415,283839
2008-02-08,173.100006,175.899994,160.550003,166.350006,125.486641,360663
2008-02-11,164.199997,164.199997,137.000000,140.250000,105.798035,452610
2008-02-12,140.000000,146.000000,130.000000,133.149994,100.442108,210756
2008-02-13,137.000000,141.949997,127.000000,137.600006,103.798973,246365
2008-02-14,141.949997,149.000000,141.100006,145.899994,110.060120,252887
2008-02-15,144.000000,153.000000,141.000000,148.800003,112.247757,348841
2008-02-18,151.000000,157.399994,148.000000,149.199997,112.549461,171472
2008-02-19,151.000000,155.500000,149.000000,150.199997,113.303818,206050
2008-02-20,151.000000,153.500000,145.050003,149.750000,112.964371,189946
2008-02-21,153.949997,158.199997,150.199997,152.949997,115.378288,202677
2008-02-22,152.899994,152.899994,146.250000,148.149994,111.757408,72485
2008-02-25,151.000000,151.000000,144.550003,146.399994,110.437286,85392
2008-02-26,148.000000,149.850006,145.500000,146.949997,110.852188,70070
