Date,Open,High,Low,Close,Adj Close,Volume
2008-04-01,40.293751,40.837502,38.887501,39.112499,15.124642,2373311
2008-04-02,39.750000,40.837502,38.887501,39.018749,15.088392,2114965
2008-04-03,39.262501,39.637501,38.924999,39.131248,15.131889,1639461
2008-04-04,39.112499,40.237499,37.912498,38.381248,14.841869,3047565
2008-04-07,38.718750,40.125000,38.137501,39.843750,15.407413,2000738
2008-04-08,39.562500,41.099998,39.206249,40.293751,15.581428,3875634
2008-04-09,39.750000,42.656250,39.412498,42.356251,16.378984,7785034
2008-04-10,42.093750,43.462502,41.268749,41.775002,16.154222,6491543
2008-04-11,42.093750,42.525002,40.968750,41.868752,16.190470,3090477
2008-04-15,41.250000,43.799999,40.912498,43.443748,16.799522,7239253
2008-04-16,43.799999,44.212502,42.375000,43.049999,16.647259,3919037
2008-04-17,43.875000,43.875000,43.125000,43.293751,16.741516,2470733
2008-04-21,43.500000,44.400002,42.937500,43.049999,16.647259,3563362
2008-04-22,42.937500,43.349998,42.412498,42.731251,16.523996,1931543
2008-04-23,43.125000,43.200001,41.625000,42.356251,16.378984,2335903
2008-04-24,42.468750,43.781250,42.375000,42.618752,16.480492,4241119
2008-04-25,42.750000,44.587502,42.056252,43.893749,16.973532,3791983
2008-04-28,45.000000,45.000000,41.887501,42.937500,16.603752,8341909
2008-04-29,43.125000,45.262501,43.125000,44.831249,17.336056,17880682
2008-04-30,45.375000,47.325001,45.000000,45.956249,17.771091,20622829
2008-05-02,46.762501,47.043751,45.112499,45.487499,17.589830,5339143
2008-05-05,45.562500,47.212502,45.224998,46.293751,17.901600,8187823
2008-05-06,46.650002,46.799999,43.987499,44.868752,17.350559,5077154
2008-05-07,45.000000,45.656250,44.287498,45.243752,17.495573,3494773
2008-05-08,44.831249,45.843750,44.250000,45.018749,17.408558,2593906
2008-05-09,44.587502,45.000000,43.181252,43.462502,16.806768,3402522
2008-05-12,42.768749,43.837502,41.812500,43.424999,16.792265,2562327
2008-05-13,44.062500,44.775002,42.956249,43.237499,16.719765,2628837
2008-05-14,43.312500,44.025002,42.825001,43.668751,16.886520,2672493
2008-05-15,44.231251,44.362499,43.631248,43.893749,16.973532,611594
2008-05-16,44.174999,44.250000,43.687500,43.875000,16.966280,647154
2008-05-20,44.137501,44.625000,43.687500,44.006248,17.017033,1679229
2008-05-21,43.687500,45.318748,43.687500,44.549999,17.227304,3930973
2008-05-22,44.437500,44.437500,42.843750,43.106251,16.669012,2142071
2008-05-23,43.762501,43.762501,42.787498,43.106251,16.669012,1830423
2008-05-26,42.393749,42.900002,41.287498,41.737499,16.139719,1186311
2008-05-27,42.637501,43.443748,40.406250,40.612499,15.704686,1908535
2008-05-28,40.875000,41.849998,40.349998,41.493752,16.045460,2098522
2008-05-29,41.812500,42.299999,39.787498,40.406250,15.624927,4323519
2008-05-30,40.500000,40.875000,40.125000,40.200001,15.545174,716967
2008-06-02,40.406250,40.799999,38.868752,39.056252,15.102889,1242458
2008-06-03,38.250000,38.887501,37.518749,38.099998,14.733109,3179701
2008-06-04,38.306252,38.849998,37.181252,37.799999,14.617105,1417685
2008-06-05,38.587502,38.587502,37.443748,38.212502,14.776615,684682
2008-06-06,38.549999,38.625000,37.875000,38.212502,14.776615,639573
2008-06-09,36.750000,37.500000,35.625000,37.275002,14.414091,1454589
2008-06-10,37.125000,37.987499,36.037498,37.818748,14.624354,1376319
2008-06-11,38.250000,39.112499,37.912498,38.474998,14.878124,1202341
2008-06-12,37.500000,38.212502,37.125000,38.006248,14.696858,1037762
2008-06-13,38.437500,38.531250,37.500000,37.650002,14.559100,1044906
2008-06-16,38.174999,38.568748,38.099998,38.325001,14.820119,333711
2008-06-17,38.081249,38.643749,37.875000,38.531250,14.899879,1093415
2008-06-18,38.662498,40.087502,38.531250,38.793751,15.001383,1701055
2008-06-19,38.287498,38.512501,36.581249,37.049999,14.327082,1262839
2008-06-20,37.500000,37.837502,35.831249,36.150002,13.979055,1181666
2008-06-23,35.625000,36.375000,34.875000,35.137501,13.587523,548005
2008-06-24,35.212502,35.625000,34.500000,35.006248,13.536768,567330
2008-06-25,34.500000,35.062500,34.181252,34.481251,13.333755,907074
2008-06-26,35.025002,35.212502,33.000000,33.150002,12.818965,1958858
2008-06-27,33.150002,33.150002,32.062500,32.493752,12.565197,659074
2008-06-30,32.625000,32.625000,31.143749,31.387501,12.137418,648575
2008-07-01,31.125000,31.481251,28.518749,28.987499,11.209347,3266565
2008-07-02,29.250000,30.356251,27.750000,29.981251,11.593625,1591493
2008-07-03,29.625000,30.000000,27.225000,27.993750,10.825068,1034250
2008-07-04,28.125000,29.587500,27.674999,28.837500,11.151340,879037
2008-07-07,29.062500,30.750000,28.875000,29.868750,11.550117,1009530
2008-07-08,29.250000,31.012501,28.518749,30.112499,11.644377,1355373
2008-07-09,30.750000,31.293751,30.450001,30.656250,11.854645,1359397
2008-07-10,30.356251,31.068750,29.287500,30.487499,11.789390,901583
2008-07-11,30.525000,31.125000,29.362499,29.531250,11.419613,667933
2008-07-14,29.437500,29.981251,28.968750,29.362499,11.354356,365730
2008-07-15,28.875000,29.212500,27.600000,28.087500,10.861319,878029
2008-07-16,28.087500,28.875000,27.000000,27.281250,10.549547,1073439
2008-07-17,28.462500,28.799999,27.768749,28.106251,10.868570,502397
2008-07-18,29.250000,29.625000,27.750000,29.437500,11.383360,669005
2008-07-21,29.437500,30.900000,28.912500,30.750000,11.890896,602242
2008-07-22,30.937500,33.206249,30.937500,32.625000,12.615950,1790389
2008-07-23,33.375000,35.250000,33.375000,34.518749,13.348258,1288090
2008-07-24,35.137501,35.137501,33.224998,33.506248,12.956726,625151
2008-07-25,32.287498,34.125000,32.287498,33.581249,12.985727,496831
2008-07-28,33.581249,34.968750,33.018749,34.687500,13.413512,1855319
2008-07-29,34.125000,35.437500,33.000000,33.224998,12.847971,2001647
2008-07-30,33.712502,34.537498,33.187500,33.956249,13.130743,988890
2008-07-31,34.162498,34.162498,32.493752,32.906250,12.724710,2477770
2008-08-01,32.643749,33.562500,32.306252,33.262501,12.862469,1152266
2008-08-04,33.637501,33.881248,33.056252,33.487499,12.949478,1356645
2008-08-05,33.375000,35.606251,33.375000,34.650002,13.399015,5386407
2008-08-06,35.437500,36.412498,34.181252,34.500000,13.341007,2522895
2008-08-07,34.500000,35.775002,34.125000,34.856251,13.478770,1669882
2008-08-08,34.837502,35.212502,34.331249,34.631248,13.391761,1421306
2008-08-11,35.250000,35.512501,34.893749,35.062500,13.558522,1460375
2008-08-12,35.287498,35.962502,34.650002,35.343750,13.667281,3721551
2008-08-13,34.893749,35.587502,34.537498,34.687500,13.413512,1842189
2008-08-14,35.137501,35.625000,33.937500,34.312500,13.268499,2053290
2008-08-18,34.162498,34.537498,33.393749,33.468750,12.942227,786882
2008-08-19,33.375000,33.599998,33.018749,33.131248,12.811716,990607
2008-08-20,33.562500,33.712502,33.187500,33.375000,12.905973,1211383
